CONTENT,GROUP
"Zig course link: yewtu.be/playlist?list=PLSM9kl8LlQw90M7z9J3gjKxfR4oR7JJbg",
"https://youtube.com/playlist?list=PL7jDx6sCje1HUmGfeab5-gdNK73-b7j2-
https://youtube.com/watch?v=5bVqUZBvmz4&si=GbPSV_C1FSY02kfK
https://youtube.com/watch?v=wLmERFUxdyA&si=0cxU9bOoIEvmRQ8K
https://youtube.com/watch?v=2HRkeo-LcEE&si=Xm-Gow_DDpdQSIEj",
"""Some Thing""",
